,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time
2,45,4,GA_ppSOE,107.51350603470543,,1509.0,229.1236530045953,231.4543863448817,125.82124090194702
3,45,4,IA,214.07145213847062,,412.0,130.46204068880286,132.7927740290892,206.3071851730347
4,45,4,MP,0.13720213781125362,0.011537536143646679,506.0,148.0810530040862,152.74251968465887,1245.40292096138
5,45,4,MP_ppSOE,0.15565341674137234,0.06305354503389862,515.0,149.4209505886828,154.08241726925542,1118.2891871929166
6,45,6,GR,,,11193.0,379.272876595184,379.272876595184,0.0
7,45,6,GA,171.46035151943946,,1461.0,226.666873431292,228.99760677157832,165.25427007675168
8,45,6,GA_ppSOE,171.47716727822726,,1642.0,235.54320817917926,237.8739415194656,166.75999999046326
9,45,6,IA,206.4612323276904,,430.0,133.71194199849705,136.0426753387834,420.8869309425354
10,45,6,MP,0.24011219199581324,-0.050980316706470866,445.0,138.31791158287308,142.97937826344577,1215.7194020748136
11,45,6,MP_ppSOE,0.2398594466840601,-0.051099880110753684,514.0,149.2732343128314,153.93470099340402,1095.9055080413816
0,46,4,GR,,,5582.0,326.0749175272777,326.0749175272777,0.0
1,46,4,GA,111.40984284469376,,940.0,193.15113665830663,195.481869998593,128.49187517166138
2,46,4,GA_ppSOE,107.09844782740332,,940.0,193.15113665830663,195.481869998593,130.0601270198822
3,46,4,IA,162.86000247198905,,372.0,122.70019906299795,125.0309324032843,201.0055239200592
4,46,4,MP,0.2308810142291785,-0.0934600074260358,350.0,120.06718587898176,124.72865255955442,1172.1814370155334
5,46,4,MP_ppSOE,0.2294752338537283,-0.09614255093705933,350.0,120.06718587898176,124.72865255955442,1088.395124912262
6,46,6,GR,,,14504.0,398.77382948419694,398.77382948419694,0.0
7,46,6,GA,171.43087496108663,,1851.0,244.6488458938247,246.979579234111,188.78710508346558
8,46,6,GA_ppSOE,171.45539115136157,,1851.0,244.6488458938247,246.979579234111,158.90982103347778
9,46,6,IA,241.78047422166702,,1248.0,214.6908798568712,217.0216131971575,401.0198211669922
10,46,6,MP,0.21775813001249014,-0.09989901366556614,1241.0,216.263397813789,220.9248644943616,1258.5747380256653
11,46,6,MP_ppSOE,0.2287580208496976,-0.09151920658314812,1239.0,216.1408171420537,220.80228382262638,1183.9705538749695
0,47,4,GR,,,6396.0,336.74207671209183,336.74207671209183,0.0
1,47,4,GA,177.93784356549324,,924.0,191.84638358300685,194.1771169232932,130.82907819747922
2,47,4,GA_ppSOE,109.56679439545285,,1146.0,208.21076633111488,210.54149967140125,126.30570507049559
3,47,4,IA,212.74476309144782,,273.0,99.18412257229578,101.51485591258209,225.51938199996948
4,47,4,MP,0.1369506625509329,0.012019617950075586,367.0,123.67176659038616,128.33323327095886,1156.7022268772125
5,47,4,MP_ppSOE,0.1133906054246736,0.06734333653837626,418.0,133.56085501012032,138.22232169069298,1101.8615140914917
6,47,6,GR,,,16287.0,407.8141771416607,407.8141771416607,0.0
7,47,6,GA,955.8123382149727,,883.0,188.39698138413985,190.72771472442616,195.41053795814514
8,47,6,GA_ppSOE,245.7521107075717,,1464.0,226.8227709218544,229.1535042621407,152.4040060043335
9,47,6,IA,377.304018967576,,365.0,121.2564650105082,123.58719835079452,485.1919660568237
10,47,6,MP,0.10270457528136268,0.04783116661368839,449.0,138.99800560665017,143.65947228722285,1201.4060258865354
11,47,6,MP_ppSOE,0.10176797234461107,0.0271360869147893,449.0,138.99800560665017,143.65947228722285,1097.2261700630188
0,48,4,GR,,,5595.0,326.0749175272777,326.0749175272777,0.0
1,48,4,GA,315.67513243275454,,698.0,170.52891794817913,172.85965128846547,141.257896900177
2,48,4,GA_ppSOE,111.60746620634632,,1273.0,216.1982676286017,218.52900096888808,126.99507808685304
3,48,4,IA,152.14037864927352,,248.0,91.8848508467775,94.21558418706384,192.0235729217529
4,48,4,MP,0.0395793797693023,-0.0009096369770745807,219.0,84.43371760429291,89.09518428486557,1146.5331540107727
5,48,4,MP_ppSOE,0.10581994931441373,0.00039304325361943566,201.0,77.9154391507286,82.57690583130125,1058.0763890743256
6,48,6,GR,,,13693.0,394.664720667656,394.664720667656,0.0
7,48,6,GA,431.3011449874614,,680.0,168.54331879917044,170.87405213945678,222.32906794548038
8,48,6,GA_ppSOE,177.15378684744056,,1421.0,224.55709187361848,226.8878252139048,165.9825110435486
9,48,6,IA,240.12905335613067,,336.0,114.96471429544238,117.2954476357287,376.14010095596313
10,48,6,MP,0.031017500331414108,-0.001620169095468249,327.0,114.90123912643007,119.56270580700273,1175.3078320026398
11,48,6,MP_ppSOE,0.13691882291911162,0.003928404159211253,351.0,120.28401912164465,124.94548580221728,1088.0752959251404
0,49,4,GR,,,7758.0,351.4979338096045,351.4979338096045,0.0
1,49,4,GA,556.2976794572334,,662.0,166.50444838945145,168.83518172973783,125.4319360256195
2,49,4,GA_ppSOE,185.7804610051093,,1165.0,209.4604699542237,211.79120329451007,142.1414511203766
3,49,4,IA,249.83442465193482,,278.0,100.56347077872726,102.8942041190136,209.9113199710846
4,49,4,MP,0.020415125812954904,-0.0010208233872274206,267.0,99.4951641766578,104.15663085723044,1068.2341268062594
5,49,4,MP_ppSOE,0.06604014200733856,0.0010814548360108943,265.0,98.92373291319171,103.5851995937644,1008.7586240768433
6,49,6,GR,,,18019.0,415.57257072627,415.57257072627,0.0
7,49,6,GA,515.2272446419512,,1062.0,202.42536547518205,204.75609881546842,203.37459993362427
8,49,6,GA_ppSOE,287.25251361605643,,1978.0,249.69222106412082,252.0229544044072,201.5137310028076
